fine_platform,fine_table,fine_record_id,fine_account,fine_source_file,fine_time_start,fine_time_end,fine_time_granularity,fine_date,channel_ref_id
youtube,youtube_subscriptions_public,account_ref_000002::channel_ref_000006,account_ref_000002,source_file_ref_000006,,,none,,channel_ref_000006
youtube,youtube_subscriptions_public,account_ref_000002::channel_ref_005949,account_ref_000002,source_file_ref_000006,,,none,,channel_ref_005949
youtube,youtube_subscriptions_public,account_ref_000002::channel_ref_006426,account_ref_000002,source_file_ref_000006,,,none,,channel_ref_006426
youtube,youtube_subscriptions_public,account_ref_000002::channel_ref_001097,account_ref_000002,source_file_ref_000006,,,none,,channel_ref_001097
youtube,youtube_subscriptions_public,account_ref_000002::channel_ref_006626,account_ref_000002,source_file_ref_000006,,,none,,channel_ref_006626
youtube,youtube_subscriptions_public,account_ref_000002::channel_ref_003758,account_ref_000002,source_file_ref_000006,,,none,,channel_ref_003758
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000003,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000003
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000002,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000002
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000369,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000369
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000957,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000957
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000522,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000522
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_001150,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_001150
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_003895,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_003895
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_003083,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_003083
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000147,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000147
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000008,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000008
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000562,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000562
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_003909,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_003909
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000109,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000109
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000001,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000001
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000004,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000004
youtube,youtube_subscriptions_public,account_ref_000001::channel_ref_000005,account_ref_000001,source_file_ref_000007,,,none,,channel_ref_000005
